SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
J13 FP-SI,163.667,0.094,10.854,139.298,0.148,12.628,3.758,Three,J13,FP-SI,WT,Female
J14 MUC-COL,135.054,0.000,76.915,179.281,n/a,5.920,0.000,Three,J14,MUC-COL,WT,Female
J14 MUC-SI,221.281,0.020,54.181,133.652,n/a,4.215,0.000,Three,J14,MUC-SI,WT,Female
J14 TS-COL,86.684,0.052,7.811,94.483,0.005,7.052,1.959,Three,J14,TS-COL,WT,Female
J14 TS-SI,74.688,0.032,5.395,80.181,0.019,4.489,2.323,Three,J14,TS-SI,WT,Female
J14 FP-COL,1085.763,2.336,63.946,498.550,0.354,194.885,2.357,Three,J14,FP-COL,WT,Female
J14 FP-SI,232.457,0.114,18.277,207.054,0.169,35.182,4.408,Three,J14,FP-SI,WT,Female
J15 MUC-COL,228.773,0.169,29.865,144.472,n/a,8.156,n/a,Three,J15,MUC-COL,WT,Female
J15 MUC-SI,176.121,0.028,18.452,80.296,n/a,4.152,0.000,Three,J15,MUC-SI,WT,Female
J15 FP-COL,757.664,1.619,48.622,383.425,0.258,130.173,2.502,Three,J15,FP-COL,WT,Female
J15 FP-SI,481.044,0.843,34.957,285.601,0.219,149.782,2.688,Three,J15,FP-SI,WT,Female
J2 MUC-COL,352.685,0.379,47.094,346.254,0.103,32.325,n/a,Three,J2,MUC-COL,WT,Female
J2 MUC-SI,161.415,0.042,22.298,169.394,0.137,12.470,4.129,Three,J2,MUC-SI,WT,Female
J2 TS-COL,129.440,0.153,24.003,196.339,0.020,18.191,3.357,Three,J2,TS-COL,WT,Female
J2 TS-SI,103.467,0.082,10.023,147.238,0.240,9.637,5.303,Three,J2,TS-SI,WT,Female
J2 FP-COL,740.651,1.990,36.973,396.711,0.356,167.840,2.189,Three,J2,FP-COL,WT,Female
J2 FP-SI,170.102,0.242,12.880,158.557,1.149,46.165,2.261,Three,J2,FP-SI,WT,Female
J3 MUC-SI,302.868,n/a,32.941,224.548,0.066,13.415,2.773,Three,J3,MUC-SI,WT,Female
J3 FP-SI,201.669,0.089,15.376,167.001,0.225,20.621,3.162,Three,J3,FP-SI,WT,Female
J6 MUC-COL,363.714,n/a,50.780,238.550,n/a,11.731,n/a,Three,J6,MUC-COL,WT,Female
J6 MUC-SI,249.878,0.051,40.859,194.208,0.069,10.392,0.000,Three,J6,MUC-SI,WT,Female
J6 TS-COL,191.469,0.159,16.845,202.066,0.014,19.308,4.249,Three,J6,TS-COL,WT,Female
J6 TS-SI,134.926,0.097,9.797,139.391,0.053,9.392,4.629,Three,J6,TS-SI,WT,Female
J6 FP-COL,902.237,1.684,46.833,359.511,0.321,129.424,1.959,Three,J6,FP-COL,WT,Female
J6 FP-SI,899.247,1.590,34.573,383.775,0.332,267.104,2.223,Three,J6,FP-SI,WT,Female
J7 MUC-COL,405.794,0.100,51.082,279.747,n/a,14.087,0.000,Three,J7,MUC-COL,WT,Female
J7 MUC-SI,200.806,0.069,31.734,176.254,0.048,10.016,3.702,Three,J7,MUC-SI,WT,Female
J7 TS-COL,124.431,0.125,11.334,148.145,0.011,13.300,3.387,Three,J7,TS-COL,WT,Female
J7 TS-SI,42.365,0.025,2.927,46.789,0.014,2.544,1.548,Three,J7,TS-SI,WT,Female
J7 FP-COL,921.316,1.975,40.453,380.183,0.328,128.081,2.164,Three,J7,FP-COL,WT,Female
J7 FP-SI,735.299,0.513,18.489,248.196,0.188,128.721,1.698,Three,J7,FP-SI,WT,Female
J8 MUC-SI,256.041,0.068,30.498,163.212,0.051,11.964,2.064,Three,J8,MUC-SI,WT,Female
J8 FP-SI,513.494,0.497,24.731,323.919,0.333,141.209,2.954,Three,J8,FP-SI,WT,Female
J9 MUC-COL,467.587,0.060,45.848,416.976,n/a,13.603,0.000,Three,J9,MUC-COL,WT,Female
J9 MUC-SI,266.904,0.053,25.061,153.294,0.123,11.385,1.318,Three,J9,MUC-SI,WT,Female
J9 TS-COL,146.771,0.147,13.315,163.942,0.019,16.059,3.494,Three,J9,TS-COL,WT,Female
J9 TS-SI,33.625,0.019,2.467,38.272,0.022,2.571,1.164,Three,J9,TS-SI,WT,Female
J9 FP-COL,1068.667,2.462,63.304,452.783,0.388,203.406,1.694,Three,J9,FP-COL,WT,Female
J9 FP-SI,447.713,0.648,22.299,192.186,0.177,108.436,1.311,Three,J9,FP-SI,WT,Female
K1 MUC-COL,460.477,0.113,62.996,358.090,0.000,21.105,n/a,Three,K1,MUC-COL,MUT,Female
K1 MUC-SI,218.272,0.068,33.071,142.287,0.032,8.134,2.033,Three,K1,MUC-SI,MUT,Female
K1 TS-COL,183.719,0.169,17.690,203.535,0.016,20.270,4.253,Three,K1,TS-COL,MUT,Female
K1 TS-SI,143.748,0.092,9.578,148.020,0.048,8.105,4.966,Three,K1,TS-SI,MUT,Female
K1 FP-COL,900.121,2.261,37.834,376.108,0.333,145.646,2.174,Three,K1,FP-COL,MUT,Female
K1 FP-SI,527.478,0.822,27.400,277.319,0.340,143.927,2.858,Three,K1,FP-SI,MUT,Female
K10 MUC-COL,173.050,0.050,132.430,188.198,n/a,7.542,0.000,Three,K10,MUC-COL,MUT,Female
K10 MUC-SI,117.242,0.024,40.096,112.131,n/a,5.138,0.000,Three,K10,MUC-SI,MUT,Female
